Date,Open,High,Low,Close,Volume
16-01-2008,12476.8,12613,12392.3,12466.2,500101778
17-01-2008,12467,12517.6,12128,12159.2,439805270
18-01-2008,12159.9,12341.5,12022.5,12099.3,483378744
22-01-2008,12092.7,12092.7,11634.8,11971.2,506546215
23-01-2008,11969.1,12276.7,11644.8,12270.2,536454266
24-01-2008,12272.7,12399.2,12241.8,12378.6,387981825
25-01-2008,12391.7,12486.9,12183.7,12207.2,393713197
28-01-2008,12205.7,12386,12112.1,12383.9,278993779
29-01-2008,12385.2,12503.2,12347,12480.3,285150923
30-01-2008,12480.1,12681.4,12406.2,12442.8,334696327
31-01-2008,12438.3,12702.4,12249.9,12650.4,394423220
01-02-2008,12638.2,12767.7,12602.3,12743.2,379529641
04-02-2008,12743.1,12749.8,12621.8,12635.2,237457478
05-02-2008,12631.8,12631.9,12264.1,12265.1,334287188
06-02-2008,12257.2,12390.3,12178.2,12200.1,296413385
07-02-2008,12196.2,12332.5,12120.4,12247,326278893
08-02-2008,12248.5,12281.9,12103.4,12182.1,262181931
11-02-2008,12181.9,12252.1,12069.5,12240,268122796
12-02-2008,12241.5,12469.4,12241.5,12373.4,257063711
13-02-2008,12368.1,12573.1,12367.8,12552.2,236245133
14-02-2008,12551.5,12557.6,12361.5,12377,233789959
15-02-2008,12376.7,12376.7,12278.6,12348.2,289840656
19-02-2008,12349.6,12505.2,12304.1,12337.2,257553471
20-02-2008,12333.3,12464,12227.7,12427.2,297905499
21-02-2008,12426.8,12503.5,12247.3,12284.3,293401992
22-02-2008,12281.1,12397.8,12155.2,12381,307013176
25-02-2008,12380.8,12584.6,12341,12570.2,288632166
26-02-2008,12569.5,12734.2,12512.4,12684.9,291705737
27-02-2008,12683.5,12756.5,12609.4,12694.3,263778540
28-02-2008,12689.3,12689.4,12536.4,12582.2,247297198
29-02-2008,12579.6,12580.2,12223.6,12266.4,351813599
03-03-2008,12264.4,12281.4,12161,12258.9,259798123
04-03-2008,12259.1,12259.2,12032.4,12213.8,347719008
05-03-2008,12204.9,12349.7,12140.5,12255,304635542
06-03-2008,12254.6,12254.6,12026.1,12040.4,283075071
07-03-2008,12039.1,12094.2,11819.7,11893.7,307507656
10-03-2008,11893,11926.5,11731.6,11740.2,311957313
11-03-2008,11741.3,12160.8,11741,12156.8,372254760
12-03-2008,12148.6,12303.3,12092.2,12110.2,288197337
13-03-2008,12096.5,12215.3,11875.8,12145.7,336308974
14-03-2008,12146.4,12193.6,11832.7,11951.1,380854834
17-03-2008,11946.5,12076.2,11756.6,11972.2,382868420
18-03-2008,11975.9,12392.7,11975.8,12392.7,367747063
19-03-2008,12391.5,12461.5,12095.1,12099.7,328399215
20-03-2008,12102.4,12378.7,12097.9,12361.3,502746676
24-03-2008,12362,12622.1,12362,12548.6,264290423
25-03-2008,12547.3,12571.8,12449.1,12532.6,237662306
26-03-2008,12531.8,12532,12376.7,12422.9,234959912
27-03-2008,12421.9,12476.8,12293.3,12302.5,235436636
28-03-2008,12303.9,12382.2,12196.9,12216.4,208935828
31-03-2008,12215.9,12326.5,12176.1,12262.9,273684997
01-04-2008,12266.6,12659.8,12266.5,12654.4,295533363
02-04-2008,12651.7,12696.3,12555.2,12605.8,232678528
03-04-2008,12604.7,12675.1,12527.8,12626,183882507
04-04-2008,12626.3,12688.5,12528.2,12609.4,181232475
07-04-2008,12612.6,12733.7,12583.3,12612.4,197983322
08-04-2008,12602.7,12607.3,12525.8,12576.4,197268814
09-04-2008,12574.7,12621.5,12469,12527.2,194946988
10-04-2008,12526.8,12649.3,12497.2,12582,227282051
11-04-2008,12579.8,12580.3,12302,12325.4,286752878
14-04-2008,12324.8,12367.6,12280.4,12302,215925533
15-04-2008,12303.6,12387.8,12269.8,12362.5,208898270
16-04-2008,12371.5,12625.8,12371.5,12619.3,269451855
17-04-2008,12617.4,12656.5,12563.2,12620.5,217083779
18-04-2008,12626.8,12894,12626.8,12849.4,304107946
21-04-2008,12850.9,12850.9,12751.2,12825,192351078
22-04-2008,12825,12825.2,12656.5,12720.2,214854905
23-04-2008,12721.5,12837.4,12703,12763.2,244131567
24-04-2008,12764.7,12942.2,12706.6,12849,249847410
25-04-2008,12848.4,12909.2,12742.8,12891.9,240717546
28-04-2008,12890.7,12938.8,12857.5,12871.8,222247724
29-04-2008,12870.4,12889.8,12804.7,12831.9,218112569
30-04-2008,12831.5,13010,12809,12820.1,254980603
01-05-2008,12818.3,13029,12793.1,13010,245564168
02-05-2008,13012.5,13132.5,12981.8,13058.2,205465307
05-05-2008,13056.6,13058.5,12939.7,12969.5,197741103
06-05-2008,12968.9,13046.2,12863.2,13020.8,199394644
07-05-2008,13010.8,13036.7,12796.2,12814.3,235075945
08-05-2008,12814.8,12909.9,12794.8,12866.8,195635103
09-05-2008,12860.7,12861.4,12715,12745.9,180169954
12-05-2008,12745.5,12904.2,12740.5,12876.3,198154005
13-05-2008,12872.1,12891.4,12781,12832.2,236663727
14-05-2008,12825.1,12993.2,12825.1,12898.4,206797816
15-05-2008,12891.3,12999.5,12855,12992.7,217703995
16-05-2008,12992.7,13001.9,12893.5,12986.8,249194678
19-05-2008,12985.4,13136.7,12963.8,13028.2,193749795
20-05-2008,13026,13026,12781.8,12828.7,265248907
21-05-2008,12824.9,12862.5,12573.7,12601.2,265725220
22-05-2008,12597.7,12669.3,12591.3,12625.6,216350751
23-05-2008,12620.9,12622,12460.1,12479.6,190281168
27-05-2008,12479.6,12572.5,12442.6,12548.3,201469534
28-05-2008,12542.9,12601.9,12495.3,12594,213621928
29-05-2008,12593.9,12726.7,12554.7,12646.2,206504333
30-05-2008,12647.4,12689.7,12617.4,12638.3,210239106
02-06-2008,12637.7,12638.1,12427.8,12503.8,199127914
03-06-2008,12503.2,12554,12342.1,12402.8,227383308
04-06-2008,12391.9,12496.2,12338.8,12390.5,238596995
05-06-2008,12388.8,12611,12388.8,12604.5,236200958
06-06-2008,12602.7,12603.1,12192,12209.8,307905114
09-06-2008,12210.1,12331.9,12195.3,12280.3,266260011
10-06-2008,12277.7,12369.2,12207,12289.8,240739718
11-06-2008,12286.3,12286.7,12079.1,12083.8,247193172
12-06-2008,12089.6,12269.2,12076.9,12141.6,260878138
13-06-2008,12144.6,12310.3,12144.6,12307.3,247897166
16-06-2008,12306.9,12319.7,12212.2,12269.1,222065984
17-06-2008,12269.7,12322.8,12150.3,12160.3,174754846
18-06-2008,12158.7,12158.7,11993.6,12029,212813813
19-06-2008,12022.5,12114.8,11978.3,12063.1,230839076
20-06-2008,12062.2,12062.2,11818.8,11842.7,429719957
23-06-2008,11843.8,11886.2,11814.6,11842.4,182836071
24-06-2008,11842.4,11904.3,11725.5,11807.4,225233102
25-06-2008,11805.3,11924.2,11789.4,11811.8,236204599
26-06-2008,11808.6,11808.7,11453.4,11453.4,302591254
27-06-2008,11452.8,11485.2,11298,11346.5,338236106
30-06-2008,11345.7,11437.3,11287.5,11350,282257103
01-07-2008,11344.6,11407.9,11183.4,11382.2,299517058
02-07-2008,11382.3,11434.1,11214.4,11215.5,230652533
03-07-2008,11216,11337.5,11157.2,11288.5,176871341
07-07-2008,11289.2,11399.1,11120.7,11232,248309927
08-07-2008,11225,11391.1,11174.9,11384.2,271405740
09-07-2008,11381.9,11418.2,11142,11147.4,227166128
10-07-2008,11148,11270.3,11087,11229,248083902
11-07-2008,11226.2,11241.1,10977.7,11100.5,274947169
14-07-2008,11103.6,11239,11003.7,11055.2,205353435
15-07-2008,11050.8,11123.7,10827.7,10962.5,331468434
16-07-2008,10961.9,11244.2,10918.3,11239.3,307642285
17-07-2008,11238.4,11446.7,11209.5,11446.7,335307646
18-07-2008,11436.5,11510.8,11381.9,11496.6,378693248
21-07-2008,11495,11559.7,11423.9,11467.3,212827231
22-07-2008,11457.9,11616.7,11387.4,11602.5,273613816
23-07-2008,11603.4,11698.2,11558.3,11632.4,264485088
24-07-2008,11630.3,11634.5,11345.4,11349.3,241180973
25-07-2008,11341.1,11443.8,11325.1,11370.7,191005144
28-07-2008,11369.5,11369.5,11125.1,11131.1,197598545
29-07-2008,11133.4,11398.4,11128,11397.5,206952413
30-07-2008,11397.5,11586.6,11397.5,11583.7,208503261
31-07-2008,11578,11578.9,11363.7,11378,220297202
01-08-2008,11379.9,11425.7,11267,11326.3,189705588
04-08-2008,11326.3,11382.2,11221.5,11284.2,170244947
05-08-2008,11286,11615.9,11286,11615.8,234979341
06-08-2008,11603.6,11685.5,11521.3,11656.1,179967104
07-08-2008,11655.4,11655.6,11416.7,11431.4,229581036
08-08-2008,11432.1,11760,11388,11734.3,212842817
11-08-2008,11729.7,11867.1,11675.5,11782.3,183186104
12-08-2008,11781.7,11782.3,11601.5,11642.5,173686814
13-08-2008,11632.8,11633.8,11453.3,11533,182619377
14-08-2008,11532.1,11718.3,11450.9,11615.9,159816482
15-08-2008,11611.2,11709.9,11599.7,11659.9,215135896
